Título,Fecha de registro
4GUA101658/12ABGE94,25/04/1995
4GUA101534/12AAGE94,24/07/1995
08GUA103665/12AMDL17,24/08/1998
GUA155396,11/11/2015
08GUA102082/12AMDL18,27/07/1995
08GUA155483/12EDDL16,11/05/2016
08GUA109897/12HMGE98,19/01/1999
08GUA104350/12AMGE98,24/08/1998
4GUA100642/12AMGR94,24/01/1995
08GUA108759/12AMDL17,18/09/1997
08GUA155375/12AMDL18,11/11/2015
08GUA100316/12FMGC04,15/10/1998
08GUA100987/12AMDL17,14/03/1995
08GUA104467/12AMGE98,24/08/1998
08GUA109899/12HMGE98,19/01/1999
GUA100992,22/05/1995
08GUA108786/12AMGC18,15/10/1997
08GUA106265/12HMDL22,18/02/1999
08GUA102845/12AMGE98,24/08/1998
08GUA103365/12AMDL18,24/08/1998
4GUA101813/12IMGE94,13/03/1995
08GUA101362/12AMGE05,06/02/1995
08GUA104304/12AMDL15,24/08/1998
4GUA101409/12AAGE94,11/05/1995
08GUA104309/12AMGE98,24/08/1998
08GUA155408/12AMDL15,03/02/2016
08GUA101340/12AMDL17,09/06/1995
GUA105809,20/01/1999
4GUA108880/12AOTA95,22/09/1997
GUA100679,02/12/1994
GUA106263,20/03/1996
08GUA102095/12ABDL16,08/02/2016
GUA102554,07/11/1996
4GUA102025/12HMGR94,26/05/1995
4GUA108892/12ABTA95,22/09/1997
4GUA101056/12AAGE94,19/07/1995
08GUA105975/12AMDL17,18/01/1999
4GUA100521/12ABGE94,27/04/1995
08GUA100698/12AMOC07,24/02/1995
GUA102518,28/07/1995
08GUA156081/12AADL16,11/05/2016
08GUA110503/12HMGE98,20/01/1999
08GUA102871/12AMDL11,24/08/1998
08GUA108783/12AMDL18,15/10/1997
4GUA100782/12AMGR94,31/01/1995
08GUA101907/12AMDL12,24/07/1995
847106,09/06/2022
08GUA109900/12HMGE98,19/01/1999
08GUA155491/12AADL16,11/05/2016
4GUA106385/12HMGR95,25/03/1996
08GUA101976/12HMGE06,25/04/1995
4GUA101229/12IMGE94,02/01/1995
GUA105264,25/08/1998
08GUA101816/12AMDL18,30/05/1995
08GUA116686/12HMGE99,31/01/2000
4GUA101805/12ADGE94,04/05/1995
08GUA102200/12AMDL16,28/07/1995
4GUA101197/12AAGE94,19/05/1995
08GUA155490/12AADL16,11/05/2016
4GUA101767/12ABGE94,26/07/1995
08GUA101675/12AMDL11,02/03/1995
08GUA160541/12EADL18,21/09/2018
08GUA120244/12EDGE06,12/03/2007
08GUA104310/12ALGE98,24/08/1998
08GUA102197/12FMGR02,27/07/1995
GUA109150,20/01/1999
4GUA108884/12ABTA94,22/09/1997
GUA108785,15/10/1997
08GUA102521/12IMDL08,28/07/1995
4GUA108890/12ABTA95,22/09/1997
08GUA107364/12AMDL12,18/01/1999
4GUA108866/26AMTA95,03/04/1997
08GUA103341/12AMDL12,22/05/1988
4GUA101770/12ABGE94,26/07/1995
4GUA108479/12HMGE96,18/09/1997
4GUA108894/12ABTA96,22/09/1997
08GUA104697/12AMGE98,24/08/1998
08GUA108137/12AMGE06,19/01/1999
08GUA102315/12AMGE98,24/08/1998
08GUA108814/12HMDL17,08/10/1997
08GUA104545/12AMDL17,24/08/1998
08GUA104702/12AMGE98,18/01/1999
08GUA108835/12AMDL16,08/10/1997
08GUA110560/12HMGE98,20/01/1999
4GUA101240/12EMGE94,26/01/1995
08GUA106573/12AMGE06,18/01/1999
08GUA104796/12AMDL13,28/09/1997
08GUA103124/12AMDL15,24/08/1998
4GUA108882/12ACTA95,22/09/1997
08GUA102085/12FMDL07,13/06/1995
08GUA100763/12AMDL10,24/04/1995
4GUA101806/12IMGE94,12/05/1995
4GUA101437/12ABGE94,28/04/1995
GUA105259,25/08/1998
4GUA101217/12ABGE94,14/03/1995
08GUA100989/12AMDL17,20/02/1995
GUA102053,28/07/1995
4GUA102437/12IMGE95,16/06/1995
4GUA100973/12ALGR94,26/01/1995
08GUA155356/12AMDL15,09/11/2015
GUA101618,11/05/1995
08GUA118452/12EDGE01,01/08/2001
08GUA102078/12AMDL18,27/07/1995
4GUA102259/12IMGE95,26/07/1995
08GUA101361/12FMGE06,26/01/1995
GUA102256,28/07/1995
4GUA100772/12AMGR94,23/01/1995
4GUA101887/12HMGE94,09/05/1995
08GUA101365/12AMDL12,02/03/1995
